,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
169,2018,MAZDA,23590.0,22688,black,good,other,automatic,hatchback
170,2014,Scion,21590.0,35316,silver,good,other,other,coupe
171,2019,Alfa,39990.0,19886,black,good,gas,other,hatchback
172,2016,Scion,20990.0,2821,white,good,gas,other,sedan
173,2017,Ram,28990.0,26918,white,good,gas,other,pickup
174,2016,Ford,19990.0,44784,red,good,other,automatic,wagon
175,2015,Subaru,26590.0,23911,red,good,other,automatic,wagon
176,2013,ford,34995.0,106309,white,good,diesel,automatic,truck
177,2007,jeep,9900.0,117308,black,good,gas,automatic,SUV
178,2013,Subaru,22590.0,63027,black,good,gas,other,coupe
179,2020,Ram,33990.0,6822,silver,good,other,other,pickup
180,2016,Chevrolet,18990.0,77725,black,good,other,automatic,sedan
181,2015,Subaru,22590.0,63572,red,good,gas,other,hatchback
182,2017,Alfa,29990.0,21357,black,good,gas,other,sedan
183,2021,Toyota,31590.0,1575,black,good,gas,other,hatchback
184,2010,dodge,13450.0,159617,silver,good,gas,manual,coupe
185,2018,Ram,34990.0,54713,white,good,other,other,pickup
186,2015,Hyundai,25590.0,67157,white,good,other,automatic,sedan
187,2017,Nissan,24990.0,13604,silver,good,other,automatic,sedan
188,2015,ford,13990.0,101633,grey,good,gas,automatic,sedan
189,2021,Toyota,28990.0,1600,black,good,gas,other,hatchback
190,2021,Subaru,38990.0,3823,silver,good,other,automatic,wagon
191,2012,Audi,22990.0,56651,white,good,hybrid,automatic,sedan
192,2019,Toyota,20990.0,25377,white,good,gas,other,sedan
193,2014,Nissan,15990.0,88579,silver,good,other,automatic,hatchback
194,2020,Toyota,22590.0,7838,silver,good,other,other,sedan
195,2015,BMW,22990.0,53283,black,good,gas,other,coupe
196,2016,Cadillac,31590.0,17216,silver,good,other,other,sedan
197,2019,Honda,35990.0,11873,silver,good,gas,other,pickup
198,2015,Audi,30590.0,49379,black,good,diesel,automatic,sedan
199,2016,Ford,39590.0,24571,white,good,gas,other,pickup
200,2020,Ford,33590.0,20430,white,good,gas,other,pickup
201,2017,Acura,27590.0,16221,black,good,other,automatic,sedan
202,2017,Subaru,19990.0,43167,blue,good,gas,automatic,sedan
203,2015,Cadillac,31590.0,17205,red,good,gas,other,coupe
204,2018,Ram,35990.0,35690,white,good,gas,other,pickup
205,2020,Ram,31990.0,1511,red,good,gas,other,pickup
206,2003,jaguar,3450.0,127000,silver,good,gas,automatic,sedan
207,2010,Mercedes-Benz,23990.0,52923,white,good,other,automatic,sedan
208,2015,Nissan,31590.0,10428,blue,good,other,automatic,coupe
209,2017,Nissan,32590.0,52244,black,good,gas,other,pickup
210,2020,Nissan,28990.0,6595,red,good,other,automatic,hatchback
211,2016,Chevrolet,25990.0,51566,black,good,gas,other,pickup
212,2018,Kia,18990.0,9663,black,good,gas,other,sedan
213,2017,Toyota,22990.0,2469,red,good,gas,automatic,hatchback
214,2016,Audi,37990.0,49558,white,good,gas,automatic,sedan
215,2009,Toyota,15990.0,33388,silver,good,other,other,sedan
216,2013,Lincoln,19990.0,65576,brown,good,gas,other,sedan
217,2015,GMC,35990.0,66220,black,good,gas,automatic,pickup
